Country,Country Name,Country RegionId,Country Short Name,Country Table Name,Country Long Name,Country 2-alpha code,Country Currency Unit,Country Special Notes,Country Region,Country Income Group,Country WB-2 code,Country National accounts base year,Country National accounts reference year,Country SNA price valuation,Country Lending category,Country Other groups,Country System of National Accounts,Country Alternative conversion factor,Country PPP survey year,Country Balance of Payments Manual in use,Country External debt Reporting status,Country System of trade,Country Government Accounting concept,Country IMF data dissemination standard,Country Latest population census,Country Latest household survey,Country Source of most recent Income and expenditure data,Country Vital registration complete,Country Latest agricultural census,Country Latest industrial data,Country Latest trade data,Country Latest water withdrawal data,Series,Series Name,Series Topic,Series Indicator Name,Series Short definition,Series Long definition,Series Unit of measure,Series Periodicity,Series Base Period,Series Aggregation method,Series Limitations and exceptions,Series Notes from original source,Series General comments,Series Source,Series Statistical concept and methodology,Series Development relevance,Series Related source links,Series License Type,Scale,Units,2015,2012,2011,2010,2009,2008,2005,2000,1990,2014,2013,2007,2006,2004,2003,2002,2001,1999,1998,1997,1994,1993,1995,1996,1992,1991
CRI,Algeria,CR,Costa Rica,Costa Rica,Republic of Costa Rica,CR,Costa Rican colon,-,Latin America & Caribbean,Upper middle income,CR,1991,-,Value added at basic prices (VAB),IBRD,-,Country uses the 1993 System of National Accounts methodology.,-,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2012",Yes,2014,2011,2013,2013,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",15.5,15.9,16.2,16.5,17,17.5,19.5,21,22.4,15.6,15.7,18.2,18.8,20,20.4,20.7,20.9,21,21,21.1,21.7,21.8,21.5,21.3,22,22.1
CUB,"Egypt, Arab Rep.",CU,Cuba,Cuba,Republic of Cuba,CU,Cuban peso,-,Latin America & Caribbean,Upper middle income,CU,1997,2005,Value added at basic prices (VAB),-,-,Country uses the 1993 System of National Accounts methodology.,-,2011,-,-,Special trade system,-,-,2012,"Multiple Indicator Cluster Survey (MICS), 2014",-,Yes,-,-,2006,2007,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",12.8,14.3,14.9,15.5,16.2,16.9,19,22.3,33.4,13.3,13.8,17.6,18.4,19.5,20.2,20.8,21.5,23.1,24,24.9,28.1,29.4,26.9,25.9,30.7,32
DMA,"Iran, Islamic Rep.",DM,Dominica,Dominica,Commonwealth of Dominica,DM,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,DM,2006,-,Value added at basic prices (VAB),Blend,-,Country uses the 1993 System of National Accounts methodology.,-,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,-,-,Yes,-,-,2012,2004,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",9.5,10.7,11.2,11.7,12.4,13.1,15.3,19.2,26.5,9.8,10.2,13.9,14.6,16,16.8,17.5,18.4,19.9,20.6,21.3,23.3,24,22.6,22,24.8,25.6
DOM,Iraq,DO,Dominican Republic,Dominican Republic,Dominican Republic,DO,Dominican peso,-,Latin America & Caribbean,Upper middle income,DO,2007,-,Value added at basic prices (VAB),IBRD,-,Country uses the 1993 System of National Accounts methodology.,-,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2014","Integrated household survey (IHS), 2012",-,2012/13,-,2012,2005,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",18.4,20,20.4,20.7,21.1,21.5,22.6,24.3,27.1,19,19.5,21.9,22.3,23,23.4,23.7,24,24.5,24.7,24.9,25.6,25.9,25.3,25.1,26.2,26.6
ECU,Israel,EC,Ecuador,Ecuador,Republic of Ecuador,EC,U.S. dollar,National accounts have been revised from 1965 onward based on official government data; the new base year is 2007. The large upward changes are due to an improved calculation method for nominal GDP.,Latin America & Caribbean,Upper middle income,EC,2007,-,Value added at basic prices (VAB),IBRD,-,Country uses the 2008 System of National Accounts methodology.,-,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Reproductive Health Survey (RHS), 2004","Integrated household survey (IHS), 2013",-,2013/15,2008,2013,2005,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",2.1,2.3,2.4,2.4,2.4,2.4,2.7,3.6,6.3,2.2,2.3,2.5,2.5,2.9,3.2,3.3,3.5,3.7,3.8,4,4.7,5.1,4.5,4.2,5.5,5.9
GRD,Jordan,GD,Grenada,Grenada,Grenada,GD,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,GD,2006,-,Value added at basic prices (VAB),Blend,-,Country uses the 1968 System of National Accounts methodology.,-,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Reproductive Health Survey (RHS), 1985",-,Yes,2012,-,2009,2005,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",10.6,11.7,12.1,12.5,12.9,13.3,14.5,16.6,20.2,11,11.3,13.6,14.1,15,15.4,15.9,16.3,17,17.3,17.5,18.5,18.9,18.1,17.8,19.3,19.7
GTM,Kuwait,GT,Guatemala,Guatemala,Republic of Guatemala,GT,Guatemalan quetzal,-,Latin America & Caribbean,Lower middle income,GT,2001,-,Value added at basic prices (VAB),IBRD,-,Country uses the 1993 System of National Accounts methodology.,-,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2002,"Reproductive Health Survey (RHS), 2008/09","Living Standards Measurement Study Survey (LSMS), 2011",Yes,2013,-,2013,2006,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",3.2,3.8,4.2,4.6,5.1,5.4,5.9,6.5,10.4,3.4,3.6,5.7,5.8,5.9,6,6.2,6.4,6.7,7,7.3,8.5,8.9,8.1,7.7,9.4,9.9
GUY,Lebanon,GY,Guyana,Guyana,Co-operative Republic of Guyana,GY,Guyana dollar,"In 2010, the Bureau of Statistics introduced a new series of GDP rebased to year 2006. Current price GDP averaged 63 percent higher than previous estimates.",Latin America & Caribbean,Lower middle income,GY,2006,-,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,-,-,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,-,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2014","Integrated household survey (IHS), 1998",-,-,-,2013,2010,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",4.8,5.4,5.6,5.9,6.2,6.6,8.3,11.8,20.8,5,5.2,7.1,7.6,9,9.7,10.4,11.2,12.6,13.3,14,16.5,17.5,15.6,14.8,18.5,19.6
HND,Libya,HN,Honduras,Honduras,Republic of Honduras,HN,Honduran lempira,-,Latin America & Caribbean,Lower middle income,HN,2000,-,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1988–89,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2011/12","Integrated household survey (IHS), 2013",-,2013,-,2012,2003,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",7.2,8.1,8.5,8.9,9.5,10.1,12.4,15.1,20.9,7.5,7.8,10.8,11.7,13.1,13.7,14.2,14.7,15.6,16.1,16.6,18.5,19.1,17.9,17.2,19.6,20.3
HTI,Morocco,HT,Haiti,Haiti,Republic of Haiti,HT,Haitian gourde,"Fiscal year end: September 30; reporting period for national accounts data: FY. In 2010, the government revised national accounts data following changes in the methodology. Current price series since 1991 and constant price series since 1996 were revised.",Latin America & Caribbean,Low income,HT,1986/87,-,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1991,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,-,General Data Dissemination System (GDDS),2003,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013","Integrated household survey (IHS), 2012",-,2008/ 2009,-,1997,2000,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",17.6,19.6,20.3,21.1,21.9,22.6,24.3,27.5,36.5,18.2,18.9,23.2,23.8,24.9,25.5,26.2,26.9,28.3,29.2,30.1,33,33.9,32.1,31.1,34.7,35.6
